sale_id,sale_time,table_id,customer_id,item_id,quantity,unit_price,total_amount,bartender_id,waiter_id,tip_amount
SALE00001,2026-06-19 22:00:00,TBL001,CUS034,ITEM024,2,165,330,EMP001,EMP019,22.74
SALE00002,2026-06-19 22:02:00,TBL001,CUS031,ITEM010,2,165,330,EMP002,EMP020,35.77
SALE00003,2026-06-19 21:49:00,TBL001,CUS048,ITEM006,2,97,194,EMP002,EMP015,26.82
SALE00004,2026-06-19 22:05:00,TBL001,CUS031,ITEM037,3,62,186,EMP006,EMP012,18.29
SALE00005,2026-06-19 22:22:00,TBL001,CUS028,ITEM051,2,115,230,EMP006,EMP007,32.08
SALE00006,2026-06-19 22:09:00,TBL001,CUS023,ITEM027,1,294,294,EMP005,EMP009,0.0
SALE00007,2026-06-19 22:03:00,TBL001,CUS029,ITEM006,1,97,97,EMP004,EMP015,10.51
SALE00008,2026-06-19 22:40:00,TBL001,CUS032,ITEM031,2,51,102,EMP003,EMP013,9.61
SALE00009,2026-06-19 22:37:00,TBL001,CUS032,ITEM005,2,72,144,EMP005,EMP015,8.33
SALE00010,2026-06-19 23:11:00,TBL001,CUS032,ITEM015,1,101,101,EMP001,EMP015,7.04
SALE00011,2026-06-19 22:35:00,TBL001,CUS032,ITEM020,3,73,219,EMP002,EMP018,13.97
SALE00012,2026-06-19 23:09:00,TBL001,CUS032,ITEM048,2,62,124,EMP003,EMP020,18.56
SALE00013,2026-06-19 23:20:00,TBL001,CUS032,ITEM051,3,115,345,EMP005,EMP019,0.0
SALE00014,2026-06-19 22:26:00,TBL001,CUS032,ITEM015,1,101,101,EMP004,EMP010,12.99
SALE00015,2026-06-19 23:55:00,TBL001,CUS232,ITEM035,2,70,140,EMP002,EMP013,0.0
SALE00016,2026-06-20 00:26:00,TBL001,CUS232,ITEM014,2,113,226,EMP001,EMP012,31.05
SALE00017,2026-06-20 01:01:00,TBL001,CUS232,ITEM001,2,149,298,EMP003,EMP012,27.59
SALE00018,2026-06-19 23:17:00,TBL001,CUS232,ITEM048,2,62,124,EMP005,EMP019,7.93
SALE00019,2026-06-20 00:05:00,TBL001,CUS232,ITEM055,3,22,66,EMP004,EMP010,0.0
SALE00020,2026-06-19 23:57:00,TBL001,CUS232,ITEM025,1,94,94,EMP005,EMP014,7.56
